countyfips,county,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 to 99
107,Routt,1035,1282,1208,1418,1261,1666,1967,1970,1580,1830,1678,1850,2050,1817,1119,537,314,158.5,79.25,79.25
109,Saguache,326,346,356,347,234,262,312,460,271,320,361,557,630,578,595,122,179,56.5,28.25,28.25
111,San Juan,7,24,55,17,40,62,18,56,68,31,31,32,84,67,70,17,8,5.5,2.75,2.75
113,San Miguel,241,468,429,373,331,689,688,591,620,584,614,616,567,496,479,144,28,63,31.5,31.5
115,Sedgwick,265,111,142,145,47,126,172,148,112,71,181,162,200,180,143,92,73,44.5,22.25,22.25
117,Summit,1269,1459,1529,1321,1272,3198,3077,3177,1950,2131,1926,2000,2251,1625,1754,678,305,60,30,30
119,Teller,874,1377,1161,1093,925,1243,1218,1342,1256,1650,1835,2384,2732,2102,1937,678,408,196,98,98
121,Washington,213,350,318,294,280,285,271,356,257,238,277,315,381,349,221,185,116,64,32,32
123,Weld,22572,23842,23870,23607,19673,23480,25220,23490,22070,20341,18616,18386,18212,14754,10149,6093,4278,1885.5,942.75,942.75
125,Yuma,725,812,794,592,480,626,677,426,641,664,485,542,694,510,491,372,116,148.5,74.25,74.25
